Join_Count,TARGET_FID,JOIN_FID,OBJECTID,dir_name,RouteNum,Status,STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Field,SquareMile,Shape_Length
1,0,126,1,  inboun,MD355 North BRT,Planning,24,031,700309,24031700309,1400000US24031700309,7003.09,Census Tract 7003.09,G5020,S,2319420.000000000000000,11099.000000000000000,+39.1881087,-077.2703189,0,0.899814759150000,44361.629782399002579
1,0,188,1,  inboun,MD355 North BRT,Planning,24,031,700818,24031700818,1400000US24031700818,7008.18,Census Tract 7008.18,G5020,S,2194564.000000000000000,47308.000000000000000,+39.1798565,-077.2556386,0,0.865589609496000,44361.629782399002579
1,0,191,1,  inboun,MD355 North BRT,Planning,24,031,700835,24031700835,1400000US24031700835,7008.35,Census Tract 7008.35,G5020,S,5635201.000000000000000,47650.000000000000000,+39.1980942,-077.2273849,0,2.194151366170000,44361.629782399002579
1,0,389,1,  inboun,MD355 North BRT,Planning,24,031,700830,24031700830,1400000US24031700830,7008.30,Census Tract 7008.30,G5020,S,1779808.000000000000000,224.000000000000000,+39.1851226,-077.2448532,0,0.687270983017000,44361.629782399002579
1,0,511,1,  inboun,MD355 North BRT,Planning,24,031,700317,24031700317,1400000US24031700317,7003.17,Census Tract 7003.17,G5020,S,46790781.000000000000000,2088578.000000000000000,+39.2378679,-077.3037387,0,18.872350822900000,44361.629782399002579
1,0,512,1,  inboun,MD355 North BRT,Planning,24,031,700209,24031700209,1400000US24031700209,7002.09,Census Tract 7002.09,G5020,S,18832789.000000000000000,47357.000000000000000,+39.2334280,-077.2212810,0,7.289638750640000,44361.629782399002579
1,0,513,1,  inboun,MD355 North BRT,Planning,24,031,700318,24031700318,1400000US24031700318,7003.18,Census Tract 7003.18,G5020,S,11566193.000000000000000,25297.000000000000000,+39.2650337,-077.2631573,0,4.475478651240000,44361.629782399002579
1,0,514,1,  inboun,MD355 North BRT,Planning,24,031,700315,24031700315,1400000US24031700315,7003.15,Census Tract 7003.15,G5020,S,6718717.000000000000000,9348.000000000000000,+39.2433948,-077.2450077,0,2.597710655300000,44361.629782399002579
1,0,515,1,  inboun,MD355 North BRT,Planning,24,031,700316,24031700316,1400000US24031700316,7003.16,Census Tract 7003.16,G5020,S,4538368.000000000000000,11354.000000000000000,+39.2214431,-077.2720944,0,1.756650790400000,44361.629782399002579
1,0,529,1,  inboun,MD355 North BRT,Planning,24,031,700313,24031700313,1400000US24031700313,7003.13,Census Tract 7003.13,G5020,S,2797073.000000000000000,1070.000000000000000,+39.1946701,-077.2570537,0,1.080367005470000,44361.629782399002579
1,0,533,1,  inboun,MD355 North BRT,Planning,24,031,700210,24031700210,1400000US24031700210,7002.10,Census Tract 7002.10,G5020,S,4605304.000000000000000,10139.000000000000000,+39.2240430,-077.2461554,0,1.782026334890000,44361.629782399002579
1,1,126,2,  outbou,MD355 North BRT,Planning,24,031,700309,24031700309,1400000US24031700309,7003.09,Census Tract 7003.09,G5020,S,2319420.000000000000000,11099.000000000000000,+39.1881087,-077.2703189,0,0.899814759150000,48315.231716886060894
1,1,191,2,  outbou,MD355 North BRT,Planning,24,031,700835,24031700835,1400000US24031700835,7008.35,Census Tract 7008.35,G5020,S,5635201.000000000000000,47650.000000000000000,+39.1980942,-077.2273849,0,2.194151366170000,48315.231716886060894
1,1,511,2,  outbou,MD355 North BRT,Planning,24,031,700317,24031700317,1400000US24031700317,7003.17,Census Tract 7003.17,G5020,S,46790781.000000000000000,2088578.000000000000000,+39.2378679,-077.3037387,0,18.872350822900000,48315.231716886060894
1,1,512,2,  outbou,MD355 North BRT,Planning,24,031,700209,24031700209,1400000US24031700209,7002.09,Census Tract 7002.09,G5020,S,18832789.000000000000000,47357.000000000000000,+39.2334280,-077.2212810,0,7.289638750640000,48315.231716886060894
1,1,514,2,  outbou,MD355 North BRT,Planning,24,031,700315,24031700315,1400000US24031700315,7003.15,Census Tract 7003.15,G5020,S,6718717.000000000000000,9348.000000000000000,+39.2433948,-077.2450077,0,2.597710655300000,48315.231716886060894
1,1,515,2,  outbou,MD355 North BRT,Planning,24,031,700316,24031700316,1400000US24031700316,7003.16,Census Tract 7003.16,G5020,S,4538368.000000000000000,11354.000000000000000,+39.2214431,-077.2720944,0,1.756650790400000,48315.231716886060894
1,1,529,2,  outbou,MD355 North BRT,Planning,24,031,700313,24031700313,1400000US24031700313,7003.13,Census Tract 7003.13,G5020,S,2797073.000000000000000,1070.000000000000000,+39.1946701,-077.2570537,0,1.080367005470000,48315.231716886060894
1,1,533,2,  outbou,MD355 North BRT,Planning,24,031,700210,24031700210,1400000US24031700210,7002.10,Census Tract 7002.10,G5020,S,4605304.000000000000000,10139.000000000000000,+39.2240430,-077.2461554,0,1.782026334890000,48315.231716886060894
1,2,85,3,  inboun,Georgia Ave BRT,BRT Network,24,031,701308,24031701308,1400000US24031701308,7013.08,Census Tract 7013.08,G5020,S,13729244.000000000000000,44583.000000000000000,+39.1321116,-077.0607673,0,5.318087436740000,50239.536366848144098
1,2,107,3,  inboun,Georgia Ave BRT,BRT Network,24,031,703201,24031703201,1400000US24031703201,7032.01,Census Tract 7032.01,G5020,S,4257516.000000000000000,21259.000000000000000,+39.0808260,-077.0925280,0,1.652039926600000,50239.536366848144098
1,2,115,3,  inboun,Georgia Ave BRT,BRT Network,24,031,703702,24031703702,1400000US24031703702,7037.02,Census Tract 7037.02,G5020,S,1242456.000000000000000,0.000000000000000,+39.0486516,-077.0563037,0,0.479713342524000,50239.536366848144098
1,2,120,3,  inboun,Georgia Ave BRT,BRT Network,24,031,703214,24031703214,1400000US24031703214,7032.14,Census Tract 7032.14,G5020,S,1800885.000000000000000,117.000000000000000,+39.0850135,-077.0677793,0,0.695369182140000,50239.536366848144098
1,2,156,3,  inboun,Georgia Ave BRT,BRT Network,24,031,703213,24031703213,1400000US24031703213,7032.13,Census Tract 7032.13,G5020,S,588533.000000000000000,889.000000000000000,+39.0891297,-077.0755351,0,0.227575483845000,50239.536366848144098
1,2,165,3,  inboun,Georgia Ave BRT,BRT Network,24,031,703206,24031703206,1400000US24031703206,7032.06,Census Tract 7032.06,G5020,S,2663393.000000000000000,4563.000000000000000,+39.0724469,-077.0546839,0,1.030097826100000,50239.536366848144098
1,2,166,3,  inboun,Georgia Ave BRT,BRT Network,24,031,703207,24031703207,1400000US24031703207,7032.07,Census Tract 7032.07,G5020,S,3991091.000000000000000,28491.000000000000000,+39.0540685,-077.0334936,0,1.551963106120000,50239.536366848144098
1,2,167,3,  inboun,Georgia Ave BRT,BRT Network,24,031,703209,24031703209,1400000US24031703209,7032.09,Census Tract 7032.09,G5020,S,1785014.000000000000000,1821.000000000000000,+39.0389118,-077.0339921,0,0.689896678221000,50239.536366848144098
1,2,169,3,  inboun,Georgia Ave BRT,BRT Network,24,031,703215,24031703215,1400000US24031703215,7032.15,Census Tract 7032.15,G5020,S,1408606.000000000000000,0.000000000000000,+39.0846638,-077.0540058,0,0.543864264439000,50239.536366848144098
1,2,193,3,  inboun,Georgia Ave BRT,BRT Network,24,031,703302,24031703302,1400000US24031703302,7033.02,Census Tract 7033.02,G5020,S,1658961.000000000000000,16924.000000000000000,+39.0736794,-077.0819211,0,0.647061796441000,50239.536366848144098
1,2,195,3,  inboun,Georgia Ave BRT,BRT Network,24,031,703402,24031703402,1400000US24031703402,7034.02,Census Tract 7034.02,G5020,S,1265669.000000000000000,0.000000000000000,+39.0695576,-077.0690635,0,0.488676041013000,50239.536366848144098
1,2,196,3,  inboun,Georgia Ave BRT,BRT Network,24,031,703403,24031703403,1400000US24031703403,7034.03,Census Tract 7034.03,G5020,S,1214585.000000000000000,0.000000000000000,+39.0616540,-077.0623465,0,0.468952174931000,50239.536366848144098
1,2,510,3,  inboun,Georgia Ave BRT,BRT Network,24,031,703222,24031703222,1400000US24031703222,7032.22,Census Tract 7032.22,G5020,S,1609508.000000000000000,18251.000000000000000,+39.0666172,-077.0410781,0,0.628478373511000,50239.536366848144098
1,2,559,3,  inboun,Georgia Ave BRT,BRT Network,24,031,703800,24031703800,1400000US24031703800,7038,Census Tract 7038,G5020,S,1215086.000000000000000,139.000000000000000,+39.0360600,-077.0547130,0,0.469197783959000,50239.536366848144098
1,2,715,3,  inboun,Georgia Ave BRT,BRT Network,24,031,703202,24031703202,1400000US24031703202,7032.02,Census Tract 7032.02,G5020,S,4113609.000000000000000,14702.000000000000000,+39.0951706,-077.0938453,0,1.593944320340000,50239.536366848144098
1,2,800,3,  inboun,Georgia Ave BRT,BRT Network,24,031,703218,24031703218,1400000US24031703218,7032.18,Census Tract 7032.18,G5020,S,611972.000000000000000,4362.000000000000000,+39.1071892,-077.0710240,0,0.237967404052000,50239.536366848144098
1,2,1049,3,  inboun,Georgia Ave BRT,BRT Network,24,031,703216,24031703216,1400000US24031703216,7032.16,Census Tract 7032.16,G5020,S,1342662.000000000000000,568.000000000000000,+39.0978219,-077.0690260,0,0.518621970867000,50239.536366848144098
1,2,1157,3,  inboun,Georgia Ave BRT,BRT Network,24,031,701315,24031701315,1400000US24031701315,7013.15,Census Tract 7013.15,G5020,S,2627298.000000000000000,13587.000000000000000,+39.1585226,-077.0527544,0,1.019647504990000,50239.536366848144098
1,2,1159,3,  inboun,Georgia Ave BRT,BRT Network,24,031,701314,24031701314,1400000US24031701314,7013.14,Census Tract 7013.14,G5020,S,1411535.000000000000000,9735.000000000000000,+39.1471170,-077.0606903,0,0.548753732069000,50239.536366848144098
1,3,85,4,  outbou,Georgia Ave BRT,BRT Network,24,031,701308,24031701308,1400000US24031701308,7013.08,Census Tract 7013.08,G5020,S,13729244.000000000000000,44583.000000000000000,+39.1321116,-077.0607673,0,5.318087436740000,50498.744040540019341
1,3,107,4,  outbou,Georgia Ave BRT,BRT Network,24,031,703201,24031703201,1400000US24031703201,7032.01,Census Tract 7032.01,G5020,S,4257516.000000000000000,21259.000000000000000,+39.0808260,-077.0925280,0,1.652039926600000,50498.744040540019341
1,3,115,4,  outbou,Georgia Ave BRT,BRT Network,24,031,703702,24031703702,1400000US24031703702,7037.02,Census Tract 7037.02,G5020,S,1242456.000000000000000,0.000000000000000,+39.0486516,-077.0563037,0,0.479713342524000,50498.744040540019341
1,3,193,4,  outbou,Georgia Ave BRT,BRT Network,24,031,703302,24031703302,1400000US24031703302,7033.02,Census Tract 7033.02,G5020,S,1658961.000000000000000,16924.000000000000000,+39.0736794,-077.0819211,0,0.647061796441000,50498.744040540019341
1,3,195,4,  outbou,Georgia Ave BRT,BRT Network,24,031,703402,24031703402,1400000US24031703402,7034.02,Census Tract 7034.02,G5020,S,1265669.000000000000000,0.000000000000000,+39.0695576,-077.0690635,0,0.488676041013000,50498.744040540019341
1,3,196,4,  outbou,Georgia Ave BRT,BRT Network,24,031,703403,24031703403,1400000US24031703403,7034.03,Census Tract 7034.03,G5020,S,1214585.000000000000000,0.000000000000000,+39.0616540,-077.0623465,0,0.468952174931000,50498.744040540019341
1,3,559,4,  outbou,Georgia Ave BRT,BRT Network,24,031,703800,24031703800,1400000US24031703800,7038,Census Tract 7038,G5020,S,1215086.000000000000000,139.000000000000000,+39.0360600,-077.0547130,0,0.469197783959000,50498.744040540019341
1,3,715,4,  outbou,Georgia Ave BRT,BRT Network,24,031,703202,24031703202,1400000US24031703202,7032.02,Census Tract 7032.02,G5020,S,4113609.000000000000000,14702.000000000000000,+39.0951706,-077.0938453,0,1.593944320340000,50498.744040540019341
1,3,1157,4,  outbou,Georgia Ave BRT,BRT Network,24,031,701315,24031701315,1400000US24031701315,7013.15,Census Tract 7013.15,G5020,S,2627298.000000000000000,13587.000000000000000,+39.1585226,-077.0527544,0,1.019647504990000,50498.744040540019341
1,3,1159,4,  outbou,Georgia Ave BRT,BRT Network,24,031,701314,24031701314,1400000US24031701314,7013.14,Census Tract 7013.14,G5020,S,1411535.000000000000000,9735.000000000000000,+39.1471170,-077.0606903,0,0.548753732069000,50498.744040540019341
1,3,1440,4,  outbou,Georgia Ave BRT,BRT Network,24,031,701304,24031701304,1400000US24031701304,7013.04,Census Tract 7013.04,G5020,S,7338319.000000000000000,13790.000000000000000,+39.1690240,-077.0758148,0,2.838653224530000,50498.744040540019341
1,3,1441,4,  outbou,Georgia Ave BRT,BRT Network,24,031,701312,24031701312,1400000US24031701312,7013.12,Census Tract 7013.12,G5020,S,4054064.000000000000000,0.000000000000000,+39.1527986,-077.0801289,0,1.565275268100000,50498.744040540019341
1,3,1445,4,  outbou,Georgia Ave BRT,BRT Network,24,031,701313,24031701313,1400000US24031701313,7013.13,Census Tract 7013.13,G5020,S,2637570.000000000000000,1882.000000000000000,+39.1351468,-077.0777344,0,1.019093528960000,50498.744040540019341
1,4,89,5,  Outbou,NH Ave BRT,Planning,24,031,701507,24031701507,1400000US24031701507,7015.07,Census Tract 7015.07,G5020,S,5548532.000000000000000,4167.000000000000000,+39.0833905,-077.0135950,0,2.143901319310000,53719.688037693456863
1,4,155,5,  Outbou,NH Ave BRT,Planning,24,031,701415,24031701415,1400000US24031701415,7014.15,Census Tract 7014.15,G5020,S,7115743.000000000000000,15071.000000000000000,+39.0843083,-076.9894825,0,2.753211281470000,53719.688037693456863
1,4,837,5,  Outbou,NH Ave BRT,Planning,24,031,701509,24031701509,1400000US24031701509,7015.09,Census Tract 7015.09,G5020,S,4085037.000000000000000,0.000000000000000,+39.0331015,-076.9767518,0,1.577236080800000,53719.688037693456863
1,4,940,5,  Outbou,NH Ave BRT,Planning,24,031,701601,24031701601,1400000US24031701601,7016.01,Census Tract 7016.01,G5020,S,301675.000000000000000,0.000000000000000,+39.0147267,-076.9763685,0,0.116477171577000,53719.688037693456863
1,4,1456,5,  Outbou,NH Ave BRT,Planning,24,031,701503,24031701503,1400000US24031701503,7015.03,Census Tract 7015.03,G5020,S,4487400.000000000000000,15457.000000000000000,+39.0601655,-076.9902806,0,1.738555019430000,53719.688037693456863
1,4,1469,5,  Outbou,NH Ave BRT,Planning,24,031,701703,24031701703,1400000US24031701703,7017.03,Census Tract 7017.03,G5020,S,1102887.000000000000000,0.000000000000000,+38.9844888,-076.9911737,0,0.425825049934000,53719.688037693456863
1,4,1470,5,  Outbou,NH Ave BRT,Planning,24,031,701704,24031701704,1400000US24031701704,7017.04,Census Tract 7017.04,G5020,S,1287357.000000000000000,7973.000000000000000,+38.9758298,-076.9981538,0,0.500129265615000,53719.688037693456863
1,5,108,6,  Inboun,NH Ave BRT,Planning,24,031,701506,24031701506,1400000US24031701506,7015.06,Census Tract 7015.06,G5020,S,6061219.000000000000000,5209.000000000000000,+39.0548604,-077.0050149,0,2.342249787300000,51159.517821722452936
1,5,155,6,  Inboun,NH Ave BRT,Planning,24,031,701415,24031701415,1400000US24031701415,7014.15,Census Tract 7014.15,G5020,S,7115743.000000000000000,15071.000000000000000,+39.0843083,-076.9894825,0,2.753211281470000,51159.517821722452936
1,5,837,6,  Inboun,NH Ave BRT,Planning,24,031,701509,24031701509,1400000US24031701509,7015.09,Census Tract 7015.09,G5020,S,4085037.000000000000000,0.000000000000000,+39.0331015,-076.9767518,0,1.577236080800000,51159.517821722452936
1,5,940,6,  Inboun,NH Ave BRT,Planning,24,031,701601,24031701601,1400000US24031701601,7016.01,Census Tract 7016.01,G5020,S,301675.000000000000000,0.000000000000000,+39.0147267,-076.9763685,0,0.116477171577000,51159.517821722452936
1,5,1456,6,  Inboun,NH Ave BRT,Planning,24,031,701503,24031701503,1400000US24031701503,7015.03,Census Tract 7015.03,G5020,S,4487400.000000000000000,15457.000000000000000,+39.0601655,-076.9902806,0,1.738555019430000,51159.517821722452936
1,5,1457,6,  Inboun,NH Ave BRT,Planning,24,031,701505,24031701505,1400000US24031701505,7015.05,Census Tract 7015.05,G5020,S,3340981.000000000000000,1699.000000000000000,+39.0300467,-076.9933235,0,1.290612301640000,51159.517821722452936
1,5,1469,6,  Inboun,NH Ave BRT,Planning,24,031,701703,24031701703,1400000US24031701703,7017.03,Census Tract 7017.03,G5020,S,1102887.000000000000000,0.000000000000000,+38.9844888,-076.9911737,0,0.425825049934000,51159.517821722452936
1,5,1470,6,  Inboun,NH Ave BRT,Planning,24,031,701704,24031701704,1400000US24031701704,7017.04,Census Tract 7017.04,G5020,S,1287357.000000000000000,7973.000000000000000,+38.9758298,-076.9981538,0,0.500129265615000,51159.517821722452936
1,6,108,7,  inboun,US29 BRT,In Service,24,031,701506,24031701506,1400000US24031701506,7015.06,Census Tract 7015.06,G5020,S,6061219.000000000000000,5209.000000000000000,+39.0548604,-077.0050149,0,2.342249787300000,55277.632406364653434
1,6,109,7,  inboun,US29 BRT,In Service,24,031,701414,24031701414,1400000US24031701414,7014.14,Census Tract 7014.14,G5020,S,5750561.000000000000000,19555.000000000000000,+39.0726448,-076.9660918,0,2.227847219390000,55277.632406364653434
1,6,139,7,  inboun,US29 BRT,In Service,24,031,702200,24031702200,1400000US24031702200,7022,Census Tract 7022,G5020,S,1653437.000000000000000,0.000000000000000,+39.0093138,-077.0065074,0,0.638393024128000,55277.632406364653434
1,6,141,7,  inboun,US29 BRT,In Service,24,031,702302,24031702302,1400000US24031702302,7023.02,Census Tract 7023.02,G5020,S,1546299.000000000000000,3511.000000000000000,+39.0094941,-077.0189819,0,0.598382975146000,55277.632406364653434
1,6,160,7,  inboun,US29 BRT,In Service,24,031,702900,24031702900,1400000US24031702900,7029,Census Tract 7029,G5020,S,2565054.000000000000000,0.000000000000000,+39.0056401,-077.0277748,0,0.990371702527000,55277.632406364653434
1,6,161,7,  inboun,US29 BRT,In Service,24,031,703000,24031703000,1400000US24031703000,7030,Census Tract 7030,G5020,S,1087773.000000000000000,0.000000000000000,+39.0183846,-077.0213915,0,0.419991078178000,55277.632406364653434
1,6,164,7,  inboun,US29 BRT,In Service,24,031,703100,24031703100,1400000US24031703100,7031,Census Tract 7031,G5020,S,1811567.000000000000000,0.000000000000000,+39.0264084,-077.0220358,0,0.699446462060000,55277.632406364653434
1,6,168,7,  inboun,US29 BRT,In Service,24,031,703210,24031703210,1400000US24031703210,7032.10,Census Tract 7032.10,G5020,S,1539553.000000000000000,17284.000000000000000,+39.0325523,-077.0141838,0,0.601091687607000,55277.632406364653434
1,6,501,7,  inboun,US29 BRT,In Service,24,031,702501,24031702501,1400000US24031702501,7025.01,Census Tract 7025.01,G5020,S,333228.000000000000000,0.000000000000000,+38.9908535,-077.0286300,0,0.128659467514000,55277.632406364653434
1,6,516,7,  inboun,US29 BRT,In Service,24,031,702503,24031702503,1400000US24031702503,7025.03,Census Tract 7025.03,G5020,S,408458.000000000000000,0.000000000000000,+38.9971020,-077.0281693,0,0.157705967941000,55277.632406364653434
1,6,801,7,  inboun,US29 BRT,In Service,24,031,701508,24031701508,1400000US24031701508,7015.08,Census Tract 7015.08,G5020,S,915142.000000000000000,389.000000000000000,+39.0453954,-076.9770714,0,0.353486892387000,55277.632406364653434
1,6,802,7,  inboun,US29 BRT,In Service,24,031,701423,24031701423,1400000US24031701423,7014.23,Census Tract 7014.23,G5020,S,1044573.000000000000000,21240.000000000000000,+39.0864582,-076.9382912,0,0.411510645549000,55277.632406364653434
1,6,820,7,  inboun,US29 BRT,In Service,24,031,701422,24031701422,1400000US24031701422,7014.22,Census Tract 7014.22,G5020,S,323524.000000000000000,0.000000000000000,+39.0829685,-076.9437971,0,0.124912360252000,55277.632406364653434
1,6,837,7,  inboun,US29 BRT,In Service,24,031,701509,24031701509,1400000US24031701509,7015.09,Census Tract 7015.09,G5020,S,4085037.000000000000000,0.000000000000000,+39.0331015,-076.9767518,0,1.577236080800000,55277.632406364653434
1,6,1446,7,  inboun,US29 BRT,In Service,24,031,701409,24031701409,1400000US24031701409,7014.09,Census Tract 7014.09,G5020,S,6668709.000000000000000,8219.000000000000000,+39.1003467,-076.9522476,0,2.577966856200000,55277.632406364653434
1,6,1455,7,  inboun,US29 BRT,In Service,24,031,701417,24031701417,1400000US24031701417,7014.17,Census Tract 7014.17,G5020,S,2149857.000000000000000,501.000000000000000,+39.0769598,-076.9381795,0,0.830253064357000,55277.632406364653434
1,6,1456,7,  inboun,US29 BRT,In Service,24,031,701503,24031701503,1400000US24031701503,7015.03,Census Tract 7015.03,G5020,S,4487400.000000000000000,15457.000000000000000,+39.0601655,-076.9902806,0,1.738555019430000,55277.632406364653434
1,6,1457,7,  inboun,US29 BRT,In Service,24,031,701505,24031701505,1400000US24031701505,7015.05,Census Tract 7015.05,G5020,S,3340981.000000000000000,1699.000000000000000,+39.0300467,-076.9933235,0,1.290612301640000,55277.632406364653434
1,7,108,8,  outbou,US29 BRT,In Service,24,031,701506,24031701506,1400000US24031701506,7015.06,Census Tract 7015.06,G5020,S,6061219.000000000000000,5209.000000000000000,+39.0548604,-077.0050149,0,2.342249787300000,53815.324748627703229
1,7,109,8,  outbou,US29 BRT,In Service,24,031,701414,24031701414,1400000US24031701414,7014.14,Census Tract 7014.14,G5020,S,5750561.000000000000000,19555.000000000000000,+39.0726448,-076.9660918,0,2.227847219390000,53815.324748627703229
1,7,139,8,  outbou,US29 BRT,In Service,24,031,702200,24031702200,1400000US24031702200,7022,Census Tract 7022,G5020,S,1653437.000000000000000,0.000000000000000,+39.0093138,-077.0065074,0,0.638393024128000,53815.324748627703229
1,7,141,8,  outbou,US29 BRT,In Service,24,031,702302,24031702302,1400000US24031702302,7023.02,Census Tract 7023.02,G5020,S,1546299.000000000000000,3511.000000000000000,+39.0094941,-077.0189819,0,0.598382975146000,53815.324748627703229
1,7,160,8,  outbou,US29 BRT,In Service,24,031,702900,24031702900,1400000US24031702900,7029,Census Tract 7029,G5020,S,2565054.000000000000000,0.000000000000000,+39.0056401,-077.0277748,0,0.990371702527000,53815.324748627703229
1,7,161,8,  outbou,US29 BRT,In Service,24,031,703000,24031703000,1400000US24031703000,7030,Census Tract 7030,G5020,S,1087773.000000000000000,0.000000000000000,+39.0183846,-077.0213915,0,0.419991078178000,53815.324748627703229
1,7,164,8,  outbou,US29 BRT,In Service,24,031,703100,24031703100,1400000US24031703100,7031,Census Tract 7031,G5020,S,1811567.000000000000000,0.000000000000000,+39.0264084,-077.0220358,0,0.699446462060000,53815.324748627703229
1,7,168,8,  outbou,US29 BRT,In Service,24,031,703210,24031703210,1400000US24031703210,7032.10,Census Tract 7032.10,G5020,S,1539553.000000000000000,17284.000000000000000,+39.0325523,-077.0141838,0,0.601091687607000,53815.324748627703229
1,7,501,8,  outbou,US29 BRT,In Service,24,031,702501,24031702501,1400000US24031702501,7025.01,Census Tract 7025.01,G5020,S,333228.000000000000000,0.000000000000000,+38.9908535,-077.0286300,0,0.128659467514000,53815.324748627703229
1,7,516,8,  outbou,US29 BRT,In Service,24,031,702503,24031702503,1400000US24031702503,7025.03,Census Tract 7025.03,G5020,S,408458.000000000000000,0.000000000000000,+38.9971020,-077.0281693,0,0.157705967941000,53815.324748627703229
1,7,520,8,  outbou,US29 BRT,In Service,24,031,701424,24031701424,1400000US24031701424,7014.24,Census Tract 7014.24,G5020,S,2204125.000000000000000,2661.000000000000000,+39.0651575,-076.9538478,0,0.852041523690000,53815.324748627703229
1,7,527,8,  outbou,US29 BRT,In Service,24,031,702502,24031702502,1400000US24031702502,7025.02,Census Tract 7025.02,G5020,S,383501.000000000000000,0.000000000000000,+38.9879974,-077.0247984,0,0.148070824573000,53815.324748627703229
1,7,801,8,  outbou,US29 BRT,In Service,24,031,701508,24031701508,1400000US24031701508,7015.08,Census Tract 7015.08,G5020,S,915142.000000000000000,389.000000000000000,+39.0453954,-076.9770714,0,0.353486892387000,53815.324748627703229
1,7,802,8,  outbou,US29 BRT,In Service,24,031,701423,24031701423,1400000US24031701423,7014.23,Census Tract 7014.23,G5020,S,1044573.000000000000000,21240.000000000000000,+39.0864582,-076.9382912,0,0.411510645549000,53815.324748627703229
1,7,818,8,  outbou,US29 BRT,In Service,24,031,701418,24031701418,1400000US24031701418,7014.18,Census Tract 7014.18,G5020,S,1204590.000000000000000,0.000000000000000,+39.0709656,-076.9467203,0,0.465092502763000,53815.324748627703229
