Route,Weekday,Saturday,Sunday,Holiday
1,710,546,349,643
2,429,173,147,207
4,170,0,0,132
5,898,638,392,770
6,211,0,0,150
7,40,0,0,13
8,442,267,203,333
9,661,329,239,536
11,260,0,0,187
12,769,645,447,595
13,222,0,0,120
14,387,230,0,158
15,"1,535","1,141",665,"1,342"
16,"2,174","2,123","1,515","2,141"
17,508,435,233,390
18,381,185,124,301
19,51,0,0,24
20,"1,487","1,244",865,"1,102"
21,165,0,0,71
22,226,0,0,109
23,430,235,0,203
24,105,0,0,89
25,136,0,0,58
26,"2,314","1,707","1,136","2,160"
27,227,126,84,95
28,118,99,0,124
29,440,244,152,218
30,299,0,0,131
31,82,0,0,47
32,163,0,0,53
33,234,0,0,79
34,718,439,314,325
36,107,0,0,48
37,175,0,0,73
38,602,484,341,534
39,224,0,0,168
40,"3,331","2,185","1,713","2,851"
41,714,587,380,617
42,215,98,0,143
43,277,176,117,338
44,85,0,0,41
45,702,347,0,423
46,"2,175","1,699","1,116","1,652"
47,"1,007",642,474,621
48,"1,508",809,598,"1,218"
49,"1,489",817,623,"1,113"
51,170,0,0,76
52,82,0,0,46
53,135,0,0,93
54,"1,244",845,577,"1,243"
55,"5,783","4,102","2,843","5,409"
56,"1,596",909,525,993
57,974,742,457,739
58,"1,013",686,429,892
59,"2,319","1,544","1,175","1,908"
60,110,0,0,92
61,"1,509","1,010",740,"1,396"
63,317,0,0,121
64,"1,072",563,355,690
65,45,0,0,23
66,65,0,0,43
67,78,0,0,27
70,363,0,0,110
71,121,0,0,66
73,107,0,0,73
74,874,484,0,640
75,528,357,227,469
76,297,86,0,159
78,341,156,0,198
79,92,0,0,34
81,103,0,0,41
83,411,193,0,219
90,456,0,0,317
96,180,0,0,51
97,725,291,239,461
98,327,171,0,206
100,908,381,234,541
101,"1,166",0,0,"1,009"
FLASH,"2,684","1,662",751,"2,404"
LIME,489,206,165,296
PINK,484,123,138,245
301,91,55,22,84
Flex Rockville,21,0,0,0
Flex Wheaton,15,0,0,0
Flex 918,5,0,0,0