Route,Weekday,Saturday,Sunday
C53,"13,711","9,404","7,300"
D40,"11,458","7,771","6,054"
D80,"10,456","9,483","7,122"
D20,"10,165","7,841","5,489"
C31,"9,439","5,330","4,351"
C21,"9,140","5,622","4,381"
D5X,"8,143","4,012","2,723"
D50,"7,572","5,565","4,257"
D4X,"7,085","4,577","3,732"
M60,"6,602","5,732","3,971"
M12,"6,502","4,763","3,202"
P30,"6,296","4,883","3,074"
F20,"6,223","5,161","3,808"
D6X,"5,834","3,518","2,827"
D60,"5,778","3,505","2,581"
C41,"5,681","3,268","2,480"
P40,"5,510","3,576","2,268"
D74,"5,480","3,095","2,274"
C11,"5,339","3,664","2,792"
C61,"5,126","3,523","2,702"
C13,"4,822","2,834","2,279"
M20,"4,746","2,483","1,706"
D10,"4,712","3,054","2,177"
A40,"4,646","3,623","2,470"
C15,"4,614","2,488","1,947"
M70,"4,523","2,872","1,995"
P60,"4,241","2,659","2,007"
C51,"4,031","3,253","2,581"
D2X,"4,021",NA,NA
D72,"3,726","1,829","1,467"
D30,"3,570","2,222","1,635"
A58,"3,421","3,217","2,440"
C37,"3,384","2,113","1,412"
C17,"3,379","1,488",995
D70,"3,378","2,524","1,947"
P16,"3,286","1,643","1,042"
D44,"3,122","1,512","1,217"
M44,"3,081","1,397",913
C81,"2,954","1,715","1,339"
P94,"2,901","2,372","1,623"
M22,"2,877","3,234","2,109"
D36,"2,810","1,744","1,330"
P32,"2,747","1,178",699
C27,"2,596",831,609
M42,"2,561","1,205",760
D96,"2,517","1,344",896
D32,"2,456","1,306","1,012"
C75,"2,377",847,616
D94,"2,248",954,718
P90,"2,206","1,630","1,010"
M52,"2,186","1,412",886
D34,"2,182","1,049",757
A27,"2,165","1,051",755
D24,"2,164",989,723
A70,"2,144","1,628","1,215"
C29,"2,091","1,057",739
C71,"2,086","1,122",849
P20,"1,907","1,230",898
P93,"1,885","1,227",921
P42,"1,847","1,184",716
F44,"1,823","1,645",986
C23,"1,805","1,042",744
M54,"1,767","1,376",938
D90,"1,749",805,628
P33,"1,718",749,510
F1X,"1,686","1,366",993
D1X,"1,630","1,134",676
C35,"1,589",702,492
P61,"1,571","1,039",802
P31,"1,566","1,370",959
P1X,"1,558","1,336",896
P62,"1,554",774,597
P41,"1,552","1,132",763
D82,"1,539",NA,NA
C55,"1,428",692,523
P66,"1,425",752,688
A12,"1,409","1,152",835
A11,"1,329","1,109",467
P10,"1,329","1,104",601
A90,"1,321",NA,NA
A1X,"1,246","1,024",622
F50,"1,216",585,395
C91,"1,207",984,793
P21,"1,205",366,299
P14,"1,156",797,290
F62,"1,150",737,476
C25,"1,115",568,445
F60,"1,094",884,593
F61,"1,077",825,561
C26,"1,074",616,403
P35,"1,064",NA,NA
C63,"1,048",564,407
F23,956,680,422
P96,935,814,515
P24,935,462,159
P63,929,381,305
A76,918,565,218
F24,916,751,496
P87,910,490,282
M82,813,450,385
C85,724,NA,NA
C33,699,297,259
P12,692,420,288
P15,685,NA,NA
M6X,683,NA,NA
A71,679,240,179
P97,677,NA,NA
P72,644,317,246
A49,635,NA,NA
C43,625,227,175
F81,588,NA,NA
C57,561,NA,NA
C87,553,NA,NA
A66,541,425,160
P73,515,NA,NA
A28,510,NA,NA
C77,477,NA,NA
F26,420,249,157
C83,359,141,102
F85,348,NA,NA
A25,326,NA,NA
F28,321,NA,NA
F83,265,NA,NA
F19,239,NA,NA
F29,182,NA,NA
A29,156,NA,NA